IDContrato;DataFoto;IDTranche;Tipo;DataBase;DataBaixa;DataEvento;Projetado;Realizado;TaxaCambio;TaxaVariante;Taxa;FoiRealizado
372586;1900-01-01;1;2;2006-11-01;2006-11-01;2006-11-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-11-01;2006-11-01;2006-11-01;22402868247947900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2006-12-01;2006-12-01;2006-12-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2006-12-01;2006-12-01;2006-12-01;21425133960086700000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-01-01;2007-01-02;2007-01-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-01-01;2007-01-02;2007-01-01;21875741936231500000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-02-01;2007-02-01;2007-02-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-02-01;2007-02-01;2007-02-01;21612178780373300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-03-01;2007-03-01;2007-03-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-03-01;2007-03-01;2007-03-01;19282620564077800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-04-01;2007-04-02;2007-04-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-04-01;2007-04-02;2007-04-01;21085052468656900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-05-01;2007-05-02;2007-05-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-05-01;2007-05-02;2007-05-01;20149828367224400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-06-01;2007-06-01;2007-06-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-06-01;2007-06-01;2007-06-01;20557926156940400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-07-01;2007-07-02;2007-07-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-07-01;2007-07-02;2007-07-01;19639706130079500000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-08-01;2007-08-01;2007-08-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-08-01;2007-08-01;2007-08-01;2003079984522400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-09-01;2007-09-03;2007-09-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-09-01;2007-09-03;2007-09-01;19767236689365800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-10-01;2007-10-01;2007-10-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-10-01;2007-10-01;2007-10-01;18874522774362100000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-11-01;2007-11-01;2007-11-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-11-01;2007-11-01;2007-11-01;19240110377649400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2007-12-01;2007-12-03;2007-12-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2007-12-01;2007-12-03;2007-12-01;18364400537217200000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-01-01;2008-01-02;2008-01-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-01-01;2008-01-02;2008-01-01;1871298406593300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-02-01;2008-02-01;2008-02-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-02-01;2008-02-01;2008-02-01;18449420910074800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-03-01;2008-03-03;2008-03-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-03-01;2008-03-03;2008-03-01;1701257660878300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-04-01;2008-04-01;2008-04-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-04-01;2008-04-01;2008-04-01;17922294598358300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-05-01;2008-05-02;2008-05-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-05-01;2008-05-02;2008-05-01;17089094944354900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-06-01;2008-06-02;2008-06-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-06-01;2008-06-02;2008-06-01;17395168286641900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-07-01;2008-07-01;2008-07-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-07-01;2008-07-01;2008-07-01;16578972707209900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-08-01;2008-08-01;2008-08-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-08-01;2008-08-01;2008-08-01;16868041974925500000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-09-01;2008-09-01;2008-09-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-09-01;2008-09-01;2008-09-01;16604478819067300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-10-01;2008-10-01;2008-10-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-10-01;2008-10-01;2008-10-01;15813789351492600000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-11-01;2008-11-03;2008-11-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-11-01;2008-11-03;2008-11-01;16077352507350800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2008-12-01;2008-12-01;2008-12-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2008-12-01;2008-12-01;2008-12-01;15303667114347600000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-01-01;2009-01-02;2009-01-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
